Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Trg OF 10,LJUBLJANA,"1,14",2757,"3,83",OKREPČEVALNICA TIMEOUT
Partizanska cesta 50,MARIBOR,"0,94",1925,"3,63",OKREPČEVALNICA TIP TOP
Spuhlja 32,PTUJ,"2,61",2334,"5,30",OKREPČEVALNICA VILLA MONDE
Ulica Eve Lovše 1,MARIBOR,"3,11",2480,"5,80",OŠTARIJA PIZZERIA DA NOI
Ulica Eve Lovše 1,MARIBOR,"4,31",2705,"7,00",OŠTARIJA PIZZERIA DA NOI - DOSTAVA
Šmartinska cesta 152,LJUBLJANA,"3,31",2271,"6,00",OŠTARIJA PRI OLJKI
Kandijska cesta 35,NOVO MESTO,"2,31",1471,"5,00",OŠTARIJA RUDOLFSWERTH
Gosposka ulica 6,MARIBOR,"2,94",2863,"5,63",PAPAGAYO
Ljubljanska cesta 21,CELJE,"2,48",2623,"5,17",PE DIJAŠKI DOM CELJE
Tobačna ulica 5,LJUBLJANA,"2,21",1424,"4,90",PE MARJETICA
Glavni trg 25,SLOVENJ GRADEC,"0,00",1983,"2,69",PEK MATJAŽ GLAVNI TRG
Tomšičeva cesta 15,VELENJE,"0,00",1984,"2,69",PEK MATJAŽ TOMŠIČEVA
Jurčkova cesta 223,LJUBLJANA,"3,51",1366,"6,20",PIAZZA DEL PAPA
Cesta v Mestni log 55,LJUBLJANA,"3,64",2248,"6,33",PICERIJA BARJAN
Celjska cesta 7,ŽALEC,"3,21",2507,"5,90",PICERIJA BONITAS 
Pod Trško goro 83,NOVO MESTO,"3,11",2551,"5,80",PICERIJA ERA
Otoška cesta 5,NOVO MESTO,"3,11",2927,"5,80",PICERIJA LAVANDA
Meljska cesta 39,MARIBOR,"2,81",2970,"5,50",PICERIJA RESTAVRACIJA MORICCU
UlicaIvana Roba 56,NOVO MESTO,"3,44",2754,"6,13",PICERIJA ŠTANGELJ
Opekarniška cesta 9,CELJE,"2,94",2504,"5,63",PICERIJA VERONA 
Opekarniška cesta 9,CELJE,"3,94",2505,"6,63",PICERIJA VERONA - DOSTAVA
Celovška cesta 249,LJUBLJANA,"4,31",1794,"7,00",PICESTAVRACIJA BOCCACCIO
Perkova 17,DOMŽALE,"3,71",1798,"6,40",PIVNICA ADAM RAVBAR
Kolodvorska ulica 14,LJUBLJANA,"3,94",2185,"6,63",PIVOVARNA IN PIVNICA KRATOCHWILL
Ljubljanska cesta 5,BLED,"4,31",2308,"7,00",PIZZERIA BRIKSEN
Rozmanova ulica 25,NOVO MESTO,"3,31",2736,"6,00",PIZZERIA CHIANTI
Ulica Eve Lovše 1,MARIBOR,"0,54",2479,"3,23",PIZZERIA DA NOI FAST FOOD
Gregorčičeva ulica 3,LJUBLJANA,"4,24",1441,"6,93",PIZZERIA FOCULUS
Dalmatinova ulica 2,KRŠKO,"4,31",2284,"7,00",PIZZERIA FONTANA 
Vojkova 34,LJUBLJANA,"3,94",1402,"6,63",PIZZERIA GREGORINO
Pobreška cesta 18,MARIBOR,"3,24",1103,"5,93",PIZZERIA IN ŠPAGETERIA AL CAPONE
Šmartinska cesta 152,LJUBLJANA,"3,21",2270,"5,90",PIZZERIA IN ŠPAGETERIJA AL CAPONE
